creationTime,productSize,productColor,content
2019-06-04 19:41:30,全网通（8GB 128GB）,幻夜黑,大嘴
2019-08-07 17:58:26,全网通（8GB 128GB）,蓝水翡翠,这个一星给京东包装，手机拿做手感还是可以，用过以后才来评论
2019-10-02 21:38:11,全网通（8GB 256GB）,冰岛白,目前使用未发现有多快，唯一就是发现京东比实体店贵多了，实体店还送蓝牙耳机，扫地机器人。还是去实体店买吧。吃一堑长一智
2019-06-05 15:21:41,全网通（8GB 128GB）,幻夜黑,赠品呢
2019-06-17 11:48:58,全网通（8GB 128GB）,幻影蓝,玩和平精英卡屏。。。其他都还好，不适合游戏，拍照不错
2019-09-04 12:16:35,全网通（8GB 128GB）,冰岛白,其他体验都挺好 就是感觉电池不像是新手机应该有的电池  比我用了两年的手机电池下电速度都快
2019-08-15 22:22:55,全网通（8GB 128GB）,幻夜黑,今天刚收到货，玩了几局吃鸡，卡到对方飘来飘去，玩一局用去了20%的电
2019-07-16 09:42:58,全网通（8GB 128GB）,冰岛白,华为手机真的是我见过最好用的手机，奇烂无比优化及性价比，令人作呕的定位跟信号，总而言之就是我要是华为的工程师早就一头装死了。
2019-06-30 08:15:10,全网通（8GB 128GB）,冰岛白,"京东送货是快，头天晚上下单，第二天上午就收到了。一星给京东物流！
手机到手三四天，就出现黑屏！！！正在京东网站上看商品呢，突然就黑屏了！！！挺神奇的！以前用的vivo，好几年了都没有出现黑屏！！！"
2019-06-25 16:07:03,全网通（8GB 256GB）,幻影蓝,收到的产品外观看起来还可以，但拨打电话时，突然发现音质有很大问题，与客服联系换货又有一大串要求
2019-08-13 12:30:28,全网通（8GB 256GB）,蓝水翡翠,快递很好，很快。产品也不错。但是购买服务体验不好。赠品没有，也解释不清楚。购物车也没有提醒赠品发完。客服反应慢。一句话说好几遍才有人回复。
2019-08-02 21:30:21,全网通（8GB 256GB）,冰岛白,帮朋友买的，他用了试了一个礼拜，评价不错，就是买的时候没有充电宝送，七天的最后一天才发现有充电宝送，结果还给忘记了，机器其实真不错，就是这个售后太那个了
2019-10-10 13:17:31,全网通（8GB 256GB）,蓝水翡翠,新手机换好钢化膜用沾点水的眼镜布擦了擦屏幕，屏幕右下角进水了，华为整天追求高性能呢，看看这基本的做工，这质量。（实话实说）
2019-06-20 06:43:43,全网通（8GB 128GB）,幻影蓝,手机还没有签收，已经被京东给确认收货了，不明白这是为什么。不过手机用着还可以，顶起 华为
2019-06-25 10:45:58,全网通（8GB 128GB）,幻夜黑,没有小米好，，虽然充很快，但用电挺快的，视频通话时后摄像头不能跟电筒同时打开的，小米的可以，感觉功能不是很齐
2019-10-05 05:36:52,全网通（8GB 256GB）,幻夜黑,"外形外观：感觉挺漂亮的
屏幕音效：屏幕没有之前用的8p好，但是感觉音效比8p好
拍照效果：没有想象中好
运行速度：这个我必须得吐槽，也是给一星的原因，后台开的优酷缓存电视剧，玩三国杀，而且是人机，竟然卡出翔，我真的是醉了。
待机时间：挺满意的"
2019-10-05 19:31:52,全网通（8GB 256GB）,幻夜黑,其他都好用，性价比也很高，就是一周不到，钢化膜还没到屏幕就碎了。用了这么久华为的手机，第一次屏幕这么脆...
2019-06-22 08:32:13,全网通（8GB 256GB）,冰岛白,电池不抗用，冲电慢，早晨7点还剩80%电，九点左右剩26%了，不玩游戏，对于电池非常反感，其他的地方都不错，拍照效果不错
2019-06-17 13:49:01,全网通（8GB 128GB）,幻影蓝,裸机，没有耳机，跟朋友隔一天买的，人家有耳机，送的钢化膜，送的手机壳，总之&hellip;&hellip;
2019-06-13 17:32:21,全网通（8GB 256GB）,幻夜黑,之前已经买了荣耀10，而在买这款之前在网上看了很多这款方面文章资料，但是到手了玩了几天，也没有网上吹的那样牛，而且没有耳机送，相对其它国产大品牌性价比高了，差评
2019-06-02 19:54:41,全网通（8GB 128GB）,幻夜黑,手机挺好，没啥问题，可是交了定金的啥好处都没有，啥意思
